,gene_name,gene_num
135,BAIAP2L1,ENSG00000006453
136,KDM7A,ENSG00000006459
137,ETV1,ENSG00000006468
138,AGK,ENSG00000006530
139,ALDH3B1,ENSG00000006534
140,TTC22,ENSG00000006555
141,PHTF2,ENSG00000006576
142,CCL26,ENSG00000006606
143,FARP2,ENSG00000006607
144,USH1C,ENSG00000006611
145,GGCT,ENSG00000006625
146,DBF4,ENSG00000006634
147,TBXA2R,ENSG00000006638
148,IFRD1,ENSG00000006652
149,LGALS14,ENSG00000006659
150,COX10,ENSG00000006695
151,GTF2IRD1,ENSG00000006704
152,PAF1,ENSG00000006712
153,VPS41,ENSG00000006715
154,ARHGAP44,ENSG00000006740
155,ELAC2,ENSG00000006744
156,SCIN,ENSG00000006747
157,ARSD,ENSG00000006756
158,PNPLA4,ENSG00000006757
159,MYH13,ENSG00000006788
160,ADIPOR2,ENSG00000006831
161,CDKL3,ENSG00000006837
162,UPP2,ENSG00000007001
163,PRSS21,ENSG00000007038
164,MARK4,ENSG00000007047
165,PROM1,ENSG00000007062
166,CCDC124,ENSG00000007080
167,CEACAM21,ENSG00000007129
168,PAFAH1B1,ENSG00000007168
169,NOS2,ENSG00000007171
170,DNAH9,ENSG00000007174
171,KIAA0100,ENSG00000007202
172,SLC13A2,ENSG00000007216
173,GAS7,ENSG00000007237
174,TRAPPC6A,ENSG00000007255
175,MATK,ENSG00000007264
176,CEACAM7,ENSG00000007306
177,CD79B,ENSG00000007312
178,SCN4A,ENSG00000007314
179,ST7L,ENSG00000007341
180,TKTL1,ENSG00000007350
181,PAX6,ENSG00000007372
182,RPUSD1,ENSG00000007376
183,RHBDF1,ENSG00000007384
184,LUC7L,ENSG00000007392
185,CACNA2D2,ENSG00000007402
186,BAIAP3,ENSG00000007516
187,TSR3,ENSG00000007520
188,PIGQ,ENSG00000007541
189,CRAMP1,ENSG00000007545
190,TEAD3,ENSG00000007866
191,SELE,ENSG00000007908
192,DNAJC11,ENSG00000007923
193,FMO3,ENSG00000007933
194,MYLIP,ENSG00000007944
195,NOX1,ENSG00000007952
196,E2F2,ENSG00000007968
197,PSMB1,ENSG00000008018
198,SYN1,ENSG00000008056
199,JARID2,ENSG00000008083
200,CDKL5,ENSG00000008086
201,CAMK1G,ENSG00000008118
202,CDK11A,ENSG00000008128
203,NADK,ENSG00000008130
204,TFAP2B,ENSG00000008196
205,TFAP2D,ENSG00000008197
206,DLEC1,ENSG00000008226
207,CYTH3,ENSG00000008256
208,ADAM22,ENSG00000008277
209,SYPL1,ENSG00000008282
210,CYB561,ENSG00000008283
211,SPAG9,ENSG00000008294
212,CELSR3,ENSG00000008300
213,AASS,ENSG00000008311
214,PLEKHG6,ENSG00000008323
215,SS18L2,ENSG00000008324
216,MPND,ENSG00000008382
217,MGST1,ENSG00000008394
218,CRY1,ENSG00000008405
219,PGLYRP1,ENSG00000008438
220,NFIX,ENSG00000008441
221,ST3GAL1,ENSG00000008513
222,MMP25,ENSG00000008516
223,IL32,ENSG00000008517
224,PKD1,ENSG00000008710
225,MAPK8IP2,ENSG00000008735
226,MED24,ENSG00000008838
227,RHOBTB2,ENSG00000008853
228,HEATR5B,ENSG00000008869
229,SEC62,ENSG00000008952
230,RPS20,ENSG00000008988
231,CSDE1,ENSG00000009307
232,UBE3C,ENSG00000009335
233,REV3L,ENSG00000009413
234,TENM1,ENSG00000009694
235,PAX7,ENSG00000009709
236,MASP2,ENSG00000009724
237,IYD,ENSG00000009765
238,FAM76A,ENSG00000009780
239,TRAF3IP3,ENSG00000009790
240,POMT2,ENSG00000009830
241,VTA1,ENSG00000009844
242,MLXIPL,ENSG00000009950
243,BAZ1B,ENSG00000009954
244,RANBP9,ENSG00000010017
245,ETV7,ENSG00000010030
246,SPRTN,ENSG00000010072
247,METTL13,ENSG00000010165
248,DYRK4,ENSG00000010219
249,ZNF207,ENSG00000010244
250,UQCRC1,ENSG00000010256
251,STARD3NL,ENSG00000010270
252,CD9,ENSG00000010278
253,HHATL,ENSG00000010282
254,NCAPD2,ENSG00000010292
255,IFFO1,ENSG00000010295
256,GIPR,ENSG00000010310
257,PHF7,ENSG00000010318
258,SEMA3G,ENSG00000010319
259,NISCH,ENSG00000010322
260,STAB1,ENSG00000010327
261,FUZ,ENSG00000010361
262,SLC6A13,ENSG00000010379
263,IDS,ENSG00000010404
264,PRSS3,ENSG00000010438
265,ZNF200,ENSG00000010539
266,CD4,ENSG00000010610
267,LRRC23,ENSG00000010626
268,BTK,ENSG00000010671
269,HFE,ENSG00000010704
270,SCMH1,ENSG00000010803
271,FYN,ENSG00000010810
272,HIVEP2,ENSG00000010818
273,FMO1,ENSG00000010932
274,TCEB3,ENSG00000011007
275,LYPLA2,ENSG00000011009
276,CLCN6,ENSG00000011021
277,MRC2,ENSG00000011028
278,NME1-NME2,ENSG00000011052
279,SLC6A7,ENSG00000011083
280,TSPAN9,ENSG00000011105
281,BTBD7,ENSG00000011114
282,APBA3,ENSG00000011132
283,MKS1,ENSG00000011143
284,ABHD5,ENSG00000011198
285,ANOS1,ENSG00000011201
286,AKAP8L,ENSG00000011243
287,MBTD1,ENSG00000011258
288,UTP18,ENSG00000011260
289,RNF216,ENSG00000011275
290,TTC19,ENSG00000011295
291,PTBP1,ENSG00000011304
292,DPF1,ENSG00000011332
293,SYT7,ENSG00000011347
294,LARS2,ENSG00000011376
295,PIK3C2A,ENSG00000011405
296,PLAUR,ENSG00000011422
297,ANLN,ENSG00000011426
298,WIZ,ENSG00000011451
299,RABGAP1,ENSG00000011454
300,DCN,ENSG00000011465
301,QPCTL,ENSG00000011478
302,PPP5C,ENSG00000011485
303,CEP68,ENSG00000011523
304,MAP4K3,ENSG00000011566
305,ZBTB32,ENSG00000011590
306,TYROBP,ENSG00000011600
307,TMEM159,ENSG00000011638
308,GABRA3,ENSG00000011677
309,BRCA1,ENSG00000012048
310,ERCC1,ENSG00000012061
311,CD22,ENSG00000012124
312,SEMA3B,ENSG00000012171
313,MBTPS2,ENSG00000012174
314,PRICKLE3,ENSG00000012211
315,LTF,ENSG00000012223
316,EXTL3,ENSG00000012232
317,NR1H4,ENSG00000012504
318,ELOVL5,ENSG00000012660
319,ALOX5,ENSG00000012779
320,KDM5D,ENSG00000012817
321,CALCOCO1,ENSG00000012822
322,UBR7,ENSG00000012963
323,MAP4K5,ENSG00000012983
324,EHD3,ENSG00000013016
325,PSMC4,ENSG00000013275
326,MAN2B2,ENSG00000013288
327,SLC7A14,ENSG00000013293
328,CLDN11,ENSG00000013297
329,SLC25A39,ENSG00000013306
330,MVP,ENSG00000013364
331,NUB1,ENSG00000013374
332,PGM3,ENSG00000013375
333,RWDD2A,ENSG00000013392
334,CLK1,ENSG00000013441
335,POLR3B,ENSG00000013503
336,ANGEL1,ENSG00000013523
337,RNF14,ENSG00000013561
338,DNASE1L1,ENSG00000013563
339,DDX11,ENSG00000013573
340,HEBP1,ENSG00000013583
341,GPRC5A,ENSG00000013588
342,MAMLD1,ENSG00000013619
343,CD6,ENSG00000013725
344,TACC3,ENSG00000013810
345,UFL1,ENSG00000014123
346,POLA2,ENSG00000014138
347,ZC3H3,ENSG00000014164
348,CAPN1,ENSG00000014216
349,ACPP,ENSG00000014257
350,MDH1,ENSG00000014641
351,SLC30A9,ENSG00000014824
352,MTMR11,ENSG00000014914
353,COX15,ENSG00000014919
354,CCDC88C,ENSG00000015133
355,YAF2,ENSG00000015153
356,ZMYND11,ENSG00000015171
357,WAS,ENSG00000015285
358,DPEP1,ENSG00000015413
359,BID,ENSG00000015475
360,MATR3,ENSG00000015479
361,NPC1L1,ENSG00000015520
362,XYLT2,ENSG00000015532
363,RGPD5,ENSG00000015568
364,STMN4,ENSG00000015592
365,NUDCD3,ENSG00000015676
366,ISL1,ENSG00000016082
367,CHDH,ENSG00000016391
368,IL20RA,ENSG00000016402
369,CLCA1,ENSG00000016490
370,CLCA4,ENSG00000016602
371,GLT8D1,ENSG00000016864
372,ATP2C1,ENSG00000017260
373,IGF1,ENSG00000017427
374,SLC38A5,ENSG00000017483
375,RALBP1,ENSG00000017797
376,RUFY3,ENSG00000018189
377,CNTN1,ENSG00000018236
378,SLC11A1,ENSG00000018280
379,WWTR1,ENSG00000018408
380,AGPS,ENSG00000018510
381,ZNF806,ENSG00000018607
382,CXorf56,ENSG00000018610
383,ATP1A2,ENSG00000018625
384,TTC27,ENSG00000018699
385,ZNF582,ENSG00000018869
386,VSIG2,ENSG00000019102
387,PHLDB1,ENSG00000019144
388,MARCO,ENSG00000019169
389,CYP24A1,ENSG00000019186
390,PRDM11,ENSG00000019485
391,SYT13,ENSG00000019505
392,SNAI2,ENSG00000019549
393,CD74,ENSG00000019582
394,HGF,ENSG00000019991
395,ZRANB1,ENSG00000019995
396,NCDN,ENSG00000020129
397,ADGRA2,ENSG00000020181
398,CCT8L1P,ENSG00000020219
399,ZFP64,ENSG00000020256
400,MNAT1,ENSG00000020426
401,SAMD4A,ENSG00000020577
402,RUNX3,ENSG00000020633
403,MRE11,ENSG00000020922
404,PLEKHB1,ENSG00000021300
405,SERPINB1,ENSG00000021355
406,CYP3A43,ENSG00000021461
407,SLC7A9,ENSG00000021488
408,SPAST,ENSG00000021574
409,NRXN3,ENSG00000021645
410,OSBPL5,ENSG00000021762
411,AQR,ENSG00000021776
412,CPS1,ENSG00000021826
413,C8B,ENSG00000021852
414,FHL1,ENSG00000022267
415,RTFDC1,ENSG00000022277
416,GABRA1,ENSG00000022355
417,NLRP2,ENSG00000022556
418,SLC45A4,ENSG00000022567
419,RNF10,ENSG00000022840
420,ZNF839,ENSG00000022976
421,ZDHHC6,ENSG00000023041
422,GRAMD1B,ENSG00000023171
423,RNH1,ENSG00000023191
424,NDUFS1,ENSG00000023228
425,RB1CC1,ENSG00000023287
426,ERP44,ENSG00000023318
427,ALAS1,ENSG00000023330
428,BIRC3,ENSG00000023445
429,AKAP11,ENSG00000023516
430,GLRX2,ENSG00000023572
431,SNAPC1,ENSG00000023608
432,DERA,ENSG00000023697
433,STRAP,ENSG00000023734
434,ABCC2,ENSG00000023839
435,DEF6,ENSG00000023892
436,PLEKHO1,ENSG00000023902
437,GCLM,ENSG00000023909
438,UBR2,ENSG00000024048
439,EHD2,ENSG00000024422
440,DEPDC1,ENSG00000024526
441,CCDC28A,ENSG00000024862
442,RRAGD,ENSG00000025039
443,HSF2,ENSG00000025156
444,PHF20,ENSG00000025293
445,HSD17B6,ENSG00000025423
446,NR1H3,ENSG00000025434
447,TYMP,ENSG00000025708
448,NCAPH2,ENSG00000025770
449,TOMM34,ENSG00000025772
450,SEC63,ENSG00000025796
451,KPNA6,ENSG00000025800
452,VIM,ENSG00000026025
453,RTEL1-TNFRSF6B,ENSG00000026036
454,FAS,ENSG00000026103
455,RNASET2,ENSG00000026297
456,CD44,ENSG00000026508
457,KCNG1,ENSG00000026559
458,AGPAT4,ENSG00000026652
459,SLAMF7,ENSG00000026751
460,BTN3A1,ENSG00000026950
461,MIPEP,ENSG00000027001
462,PRKCH,ENSG00000027075
463,INSRR,ENSG00000027644
464,IFNGR1,ENSG00000027697
465,B4GALT7,ENSG00000027847
466,SH2D2A,ENSG00000027869
467,VRK2,ENSG00000028116
468,TNFRSF1B,ENSG00000028137
469,VEZT,ENSG00000028203
470,POU2F2,ENSG00000028277
471,BRD9,ENSG00000028310
472,SNX1,ENSG00000028528
473,TBPL1,ENSG00000028839
474,ARNTL2,ENSG00000029153
475,BCLAF1,ENSG00000029363
476,SLC39A9,ENSG00000029364
477,ANK1,ENSG00000029534
478,IBSP,ENSG00000029559
479,TFB1M,ENSG00000029639
480,RABEP1,ENSG00000029725
481,HMGB3,ENSG00000029993
482,NUP160,ENSG00000030066
483,BAK1,ENSG00000030110
484,MUSK,ENSG00000030304
485,IKZF2,ENSG00000030419
486,GRN,ENSG00000030582
487,FAM13B,ENSG00000031003
488,ARHGAP31,ENSG00000031081
489,CENPQ,ENSG00000031691
490,SARS,ENSG00000031698
491,RANBP3,ENSG00000031823
492,ARID4A,ENSG00000032219
493,TSSC1,ENSG00000032389
494,PNPLA6,ENSG00000032444
495,IFT88,ENSG00000032742
496,ALG1,ENSG00000033011
497,ZCCHC8,ENSG00000033030
498,ABCF2,ENSG00000033050
499,CHPF2,ENSG00000033100
500,LRRC7,ENSG00000033122
501,FUT8,ENSG00000033170
502,UBA6,ENSG00000033178
503,GAB2,ENSG00000033327
504,ATP6V0A1,ENSG00000033627
505,PIAS1,ENSG00000033800
506,SLC4A7,ENSG00000033867
507,APBA2,ENSG00000034053
508,MAP2K3,ENSG00000034152
509,EFCAB1,ENSG00000034239
510,TMSB10,ENSG00000034510
511,ASTE1,ENSG00000034533
512,RNF19A,ENSG00000034677
513,PEX3,ENSG00000034693
514,GABARAPL2,ENSG00000034713
515,MYOC,ENSG00000034971
516,SH3YL1,ENSG00000035115
517,FAM136A,ENSG00000035141
518,VCL,ENSG00000035403
519,DEPDC1B,ENSG00000035499
520,DAPK2,ENSG00000035664
521,NSMAF,ENSG00000035681
522,ADSS,ENSG00000035687
523,STAP1,ENSG00000035720
524,TIMP2,ENSG00000035862
525,RFC1,ENSG00000035928
526,TBC1D23,ENSG00000036054
527,CUL3,ENSG00000036257
528,MYOM2,ENSG00000036448
529,OTC,ENSG00000036473
530,CYP46A1,ENSG00000036530
531,ZZZ3,ENSG00000036549
532,SLC18A1,ENSG00000036565
533,USP2,ENSG00000036672
534,CASR,ENSG00000036828
535,TUBG2,ENSG00000037042
536,RPL26L1,ENSG00000037241
537,FLT4,ENSG00000037280
538,NSUN2,ENSG00000037474
539,FBXO42,ENSG00000037637
540,MFAP3,ENSG00000037749
541,MRI1,ENSG00000037757
542,METTL1,ENSG00000037897
543,HOXC8,ENSG00000037965
544,AGA,ENSG00000038002
545,PI4K2B,ENSG00000038210
546,BOD1L1,ENSG00000038219
547,MAT2B,ENSG00000038274
548,TLL1,ENSG00000038295
549,EDC4,ENSG00000038358
550,TRIO,ENSG00000038382
551,VCAN,ENSG00000038427
552,CLEC16A,ENSG00000038532
553,MSR1,ENSG00000038945
554,CDH1,ENSG00000039068
555,SKIV2L2,ENSG00000039123
556,DNAH5,ENSG00000039139
557,ZFYVE16,ENSG00000039319
558,FAM65A,ENSG00000039523
559,C6,ENSG00000039537
560,RAI14,ENSG00000039560
561,SOX30,ENSG00000039600
562,PNKP,ENSG00000039650
563,BEST2,ENSG00000039987
564,PHLPP2,ENSG00000040199
565,SPDL1,ENSG00000040275
566,STAU2,ENSG00000040341
567,PQLC2,ENSG00000040487
568,CTNS,ENSG00000040531
569,RTN4R,ENSG00000040608
570,PHF23,ENSG00000040633
571,CDH10,ENSG00000040731
572,INPP4A,ENSG00000040933
573,RAB27B,ENSG00000041353
574,PSMA4,ENSG00000041357
575,MYO16,ENSG00000041515
576,LSG1,ENSG00000041802
577,PARP3,ENSG00000041880
578,TNC,ENSG00000041982
579,THAP3,ENSG00000041988
580,FAM65C,ENSG00000042062
581,TDP1,ENSG00000042088
582,AIFM2,ENSG00000042286
583,C2orf83,ENSG00000042304
584,SPATA7,ENSG00000042317
585,MED17,ENSG00000042429
586,RETSAT,ENSG00000042445
587,CAPG,ENSG00000042493
588,AP2S1,ENSG00000042753
589,USH2A,ENSG00000042781
590,ZPBP,ENSG00000042813
591,TG,ENSG00000042832
592,ADAM28,ENSG00000042980
593,BARX2,ENSG00000043039
594,DCUN1D1,ENSG00000043093
595,JADE2,ENSG00000043143
596,ZIC2,ENSG00000043355
597,LCP2,ENSG00000043462
598,TRIT1,ENSG00000043514
599,ADRB1,ENSG00000043591
600,GUCA2B,ENSG00000044012
601,CUL7,ENSG00000044090
602,CTNNA1,ENSG00000044115
603,PHKA2,ENSG00000044446
604,CNTLN,ENSG00000044459
605,EPHA3,ENSG00000044524
606,HSPA5,ENSG00000044574
607,DSG2,ENSG00000046604
608,GEMIN8,ENSG00000046647
609,OFD1,ENSG00000046651
610,GPM6B,ENSG00000046653
611,MAGEC2,ENSG00000046774
612,PREX2,ENSG00000046889
613,WDR37,ENSG00000047056
614,YTHDC2,ENSG00000047188
615,CTPS2,ENSG00000047230
616,ATP6V1H,ENSG00000047249
617,POLR2B,ENSG00000047315
618,FAM214A,ENSG00000047346
619,ARAP2,ENSG00000047365
620,TPR,ENSG00000047410
621,CP,ENSG00000047457
622,KIAA0556,ENSG00000047578
623,DTNBP1,ENSG00000047579
624,XK,ENSG00000047597
625,ANO2,ENSG00000047617
626,C12orf4,ENSG00000047621
627,SCML1,ENSG00000047634
628,WWC3,ENSG00000047644
629,ARHGAP6,ENSG00000047648
630,FAM184B,ENSG00000047662
631,MAP4,ENSG00000047849
632,GOPC,ENSG00000047932
633,ROS1,ENSG00000047936
634,USP28,ENSG00000048028
635,HDAC9,ENSG00000048052
636,TSPAN17,ENSG00000048140
637,NOP16,ENSG00000048162
638,CC2D2A,ENSG00000048342
639,RRM2B,ENSG00000048392
640,ZNF800,ENSG00000048405
641,TNFRSF17,ENSG00000048462
642,SNX29,ENSG00000048471
643,LMO3,ENSG00000048540
644,MRPS10,ENSG00000048544
645,GUCA1A,ENSG00000048545
646,RSF1,ENSG00000048649
647,VPS13D,ENSG00000048707
648,CELF2,ENSG00000048740
649,FAM120A,ENSG00000048828
650,R3HDM1,ENSG00000048991
651,COL9A2,ENSG00000049089
652,KITLG,ENSG00000049130
653,ERCC8,ENSG00000049167
654,ADAMTS6,ENSG00000049192
655,H6PD,ENSG00000049239
656,VAMP3,ENSG00000049245
657,PER3,ENSG00000049246
658,UTS2,ENSG00000049247
659,TNFRSF9,ENSG00000049249
660,EPN3,ENSG00000049283
661,LTBP1,ENSG00000049323
662,RCN1,ENSG00000049449
663,ELN,ENSG00000049540
664,RFC2,ENSG00000049541
665,ARID1B,ENSG00000049618
666,CLPTM1L,ENSG00000049656
667,NEDD4L,ENSG00000049759
668,FOXP3,ENSG00000049768
669,PPP1R3F,ENSG00000049769
670,HEXB,ENSG00000049860
671,PTCD2,ENSG00000049883
672,KIAA2022,ENSG00000050030
673,JKAMP,ENSG00000050130
674,DKK3,ENSG00000050165
675,ARHGEF5,ENSG00000050327
676,NFE2L3,ENSG00000050344
677,MCUR1,ENSG00000050393
678,LIMA1,ENSG00000050405
679,LETMD1,ENSG00000050426
680,SLC4A8,ENSG00000050438
681,LAMC3,ENSG00000050555
682,PTGER3,ENSG00000050628
683,TNIP3,ENSG00000050730
684,MAPK9,ENSG00000050748
685,COL23A1,ENSG00000050767
686,BCAR1,ENSG00000050820
687,FAM160A2,ENSG00000051009
688,HERPUD1,ENSG00000051108
689,HOMER3,ENSG00000051128
690,RAD51,ENSG00000051180
691,POLQ,ENSG00000051341
692,PIK3CB,ENSG00000051382
693,CYBA,ENSG00000051523
694,THOC3,ENSG00000051596
695,HEBP2,ENSG00000051620
696,MPHOSPH9,ENSG00000051825
697,PLEKHA5,ENSG00000052126
698,PRSS8,ENSG00000052344
699,SIKE1,ENSG00000052723
700,RRP12,ENSG00000052749
701,FNIP2,ENSG00000052795
702,MSMO1,ENSG00000052802
703,TTC17,ENSG00000052841
704,ALX4,ENSG00000052850
705,FSTL4,ENSG00000053108
706,FOXN3,ENSG00000053254
707,METTL24,ENSG00000053328
708,AKR7A2,ENSG00000053371
709,MRTO4,ENSG00000053372
710,NNAT,ENSG00000053438
711,USE1,ENSG00000053501
712,MCF2L2,ENSG00000053524
713,NRIP2,ENSG00000053702
714,LAMA3,ENSG00000053747
715,AP5M1,ENSG00000053770
716,ANAPC4,ENSG00000053900
717,KCNQ1,ENSG00000053918
718,TRAPPC3,ENSG00000054116
719,THRAP3,ENSG00000054118
720,PHPT1,ENSG00000054148
721,ENTPD2,ENSG00000054179
722,LY75,ENSG00000054219
723,ARID4B,ENSG00000054267
724,OPN3,ENSG00000054277
725,SDCCAG8,ENSG00000054282
726,PTPRN,ENSG00000054356
727,HHAT,ENSG00000054392
728,KIF1B,ENSG00000054523
729,FOXC1,ENSG00000054598
730,TBC1D22A,ENSG00000054611
731,SYNE2,ENSG00000054654
732,PLEKHH1,ENSG00000054690
733,ATP9A,ENSG00000054793
734,SPO11,ENSG00000054796
735,CBLN4,ENSG00000054803
736,CHRDL2,ENSG00000054938
737,FAM168A,ENSG00000054965
738,RELT,ENSG00000054967
739,GALC,ENSG00000054983
740,NOP58,ENSG00000055044
741,SZRD1,ENSG00000055070
742,KCNH2,ENSG00000055118
743,CUL1,ENSG00000055130
744,FAM114A2,ENSG00000055147
745,CYFIP2,ENSG00000055163
746,TAB2,ENSG00000055208
747,GINM1,ENSG00000055211
748,EIF2AK2,ENSG00000055332
749,USP36,ENSG00000055483
750,KMT2C,ENSG00000055609
751,MCOLN3,ENSG00000055732
752,CCDC85A,ENSG00000055813
753,PUM2,ENSG00000055917
754,MRPL43,ENSG00000055950
755,ITIH4,ENSG00000055955
756,ITIH1,ENSG00000055957
757,HPF1,ENSG00000056050
758,ZFR,ENSG00000056097
759,ZNF280C,ENSG00000056277
760,NPFFR2,ENSG00000056291
761,PHF21B,ENSG00000056487
762,TRAF1,ENSG00000056558
763,RC3H2,ENSG00000056586
764,IL17RB,ENSG00000056736
765,TRAF3IP2,ENSG00000056972
766,GYG2,ENSG00000056998
767,DCBLD2,ENSG00000057019
768,SERPINB3,ENSG00000057149
769,SOAT1,ENSG00000057252
770,PKP2,ENSG00000057294
771,MSH4,ENSG00000057468
772,F7,ENSG00000057593
773,GDI2,ENSG00000057608
774,PRDM1,ENSG00000057657
775,ATG5,ENSG00000057663
776,TMCC3,ENSG00000057704
777,PITHD1,ENSG00000057757
778,MTA3,ENSG00000057935
779,USP13,ENSG00000058056
780,ATP11B,ENSG00000058063
781,LAMC2,ENSG00000058085
782,CDK14,ENSG00000058091
783,SEC61A1,ENSG00000058262
784,PPP1R12A,ENSG00000058272
785,RASGRF1,ENSG00000058335
786,CAMK2B,ENSG00000058404
787,CROCC,ENSG00000058453
788,POLR3E,ENSG00000058600
789,ATP2B4,ENSG00000058668
790,ZC3H11A,ENSG00000058673
791,RIOK2,ENSG00000058729
792,YIPF1,ENSG00000058799
793,NDC1,ENSG00000058804
794,DGKG,ENSG00000058866
795,FLYWCH1,ENSG00000059122
796,UNKL,ENSG00000059145
797,TBXAS1,ENSG00000059377
798,PARP12,ENSG00000059378
799,ALDH18A1,ENSG00000059573
800,TARBP1,ENSG00000059588
801,GATB,ENSG00000059691
802,MXD1,ENSG00000059728
803,CDK17,ENSG00000059758
804,DNAJC25,ENSG00000059769
805,SLC2A3,ENSG00000059804
806,PSD,ENSG00000059915
807,CTDP1,ENSG00000060069
808,YBX3,ENSG00000060138
809,STYK1,ENSG00000060140
810,WNK1,ENSG00000060237
811,RPS17P5,ENSG00000060303
812,CCAR1,ENSG00000060339
813,OGFR,ENSG00000060491
814,GNA15,ENSG00000060558
815,CREB3L3,ENSG00000060566
816,PIGV,ENSG00000060642
817,PTPRU,ENSG00000060656
818,SNRNP40,ENSG00000060688
819,RIMBP2,ENSG00000060709
820,COL11A1,ENSG00000060718
821,QSER1,ENSG00000060749
822,MPC1,ENSG00000060762
823,ACAA1,ENSG00000060971
824,BCAT1,ENSG00000060982
825,HDAC7,ENSG00000061273
826,LZTS1,ENSG00000061337
827,PRDM6,ENSG00000061455
